,Title,Price,CPU Model,Style,Memory Storage Capacity,Switch Type,Brand,Average Battery Life (in hours),Data Transfer Rate,Manufacturer,Contact Type,Processor,Hard Drive,CPU Speed,Cover Material,Graphics Coprocessor,Domestic Shipping,Keyboard layout,Country of Origin,Series,Special Features,Item model number,Special Feature,Connectivity technologies,ASIN,Generation,Model Name,Screen Resolution,Theme,Material,Ink Color,Max Screen Resolution,Best Sellers Rank,Standing screen display size,International Shipping,Package Dimensions,Current Rating,Size,Operating Voltage,Date First Available,Cable Type,Hard Disk Size,Item Weight,Batteries,Department,Wireless Type,Material Type,Hardware Interface,Product Dimensions,Color,Number of USB 3.0 Ports,Screen Size,Item Thickness,Form Factor,RAM,Number of Keys,Connector Gender,Connector Type,Compatible Devices,Operation Mode,Manufacturer Part Number,Number of Buttons,Number of USB 2.0 Ports,Voltage,Ram Memory Installed Size,Keyboard Description,Operating System,Keyboard backlighting color support,Included Components,Water Resistance Level,Power Source,Customer Reviews,Language,Terminal,Chipset Brand,Is Discontinued By Manufacturer,Hardware Platform,Other display features,Number of Ports,Item Dimensions LxWxH,Connectivity Technology,Card Description
167,Razer Huntsman V2 TKL Tenkeyless Gaming Keyboard: Fastest Linear Optical Switches Gen2 w/Sound Dampeners & 8000Hz Polling Rate - Detachable TypeC Cable - Doubleshot PBT Keycaps - Ergonomic Wrist Rest,139,,Huntsman V2 TKL,,,Razer,,,Razer Inc.,,,,,,,,,,Huntsman V2 TKL,,RZ03-03940200-R3U1,"Ergonomic, Wrist Rest",,B09C13WYDX,,,,,,,,"#2,481 in Video Games (See Top 100 in Video Games)
#166 in PC Gaming Keyboards",,,,,,,"September 16, 2021",,,2.03 pounds,,,,,,14.27 x 5.54 x 1.36 inches,Classic Black,,,,,,5,,,PC,,,,,,,Gaming,,,,,,"458 ratings
4.6 out of 5 stars",,,,,PC,,,14.27 x 5.54 x 1.36 inches,USB,
168,"Wireless Gaming Keyboard and Mouse Combo, 2200mAh Mini 61 Keys Mechanical Feeling Keyboard with Bluetooth 5.1&2.4G Wireless Dual Modes,RGB Backlit Wireless Lightweight Gaming Mouse for PC/ Gamer",42,,,,,SELORSS,,,SELORSS,,,,,,,,,China,,,,,,B096P9NQCN,,,,,,,,"#10,553 in Video Games (See Top 100 in Video Games)
#787 in PC Gaming Keyboards",,,17.13 x 6.54 x 2.32 inches,,,,"June 5, 2021",,,1.95 pounds,1 A batteries required. (included),,,,,,White,,,,,,,,,,,,,,,,,"Windows XP, Windows 10",,,,Battery Powered,"136 ratings
4.1 out of 5 stars",,,,,,,,,"Bluetooth, USB",
169,"ZJFKSDYX L87 Wireless Gaming Keyboard, RGB Backlit 2.4G Wireless Connection Support Charging Waterproof Mute Button (Black)",$23.99,,,,,ZJFKSDYX,,,ZJFKSDYX,,,,,,,,,,,,,可充电,,B08BXPT9TB,,L87,,,,,,"#3,856 in Video Games (See Top 100 in Video Games)
#265 in PC Gaming Keyboards",,,,,,,"June 27, 2020",,,1.9 pounds,1 Lithium Polymer batteries required.,,,,,14 x 5 x 1 inches,Black,,,,,,87,,,Gaming Console,,,,,,,Gaming,,RGB,Usb_cable,,,"1,369 ratings
4.1 out of 5 stars",,,,,,,,,"Wireless, Wired",
170,"Apple Magic Keyboard for 12.9-inch iPad Pro 3rd Gen, 4th Gen, & 5th Gen - Black (Renewed)",$349.00,,,,,Apple,,,Apple Computer,,,,,,,,,,,,,"Ergonomic, Backlit, Foldable, Rechargeable",,B09CDR8KHX,,IPad Magic Keyboard,,,,,,#94 in Computer Keyboards,,,,,,,"August 11, 2021",,,2.42 pounds,,,,,,11.5 x 9.41 x 0.87 inches,Black,,,,,,64,,,Tablet,,,,,,,"Flexible, Integrated, Gaming, Mechanical, Multi Functinoal, Multimedia, Wireless",,Single Color,USB Cable,,,"71 ratings
4.6 out of 5 stars",English,,,,,,,,"Smart Connector, USB-C",
171,"Wireless Keyboard, EDJO 2.4G Ergonomic Full Size Wireless Computer Keyboard with Wrist Rest for Windows, Mac OS Desktop/Laptop/PC（Black）",22,,经典的,,,EDJO,,,EDJO,,,,,,,,,China,,,TK577G-CK211,"Wireless, Foldable, Wrist Support",,B095VM6J1R,,CK211,,,,,,#32 in Computer Keyboards,,,,,,,"May 26, 2021",,,1.23 pounds,,,,,,17.52 x 7.35 x 0.91 inches,Black,,,,,,104,,,"Linux, Windows, Mac",,,,,,,Ergonomic,,,Keyboard and USB Receiver,,,"498 ratings
4.3 out of 5 stars",,,,No,,,,,Wireless,
172,Dell Premier Multi-Device Wireless Keyboard and Mouse - KM7321W,79,,,,,Dell,,,Dell Technologies,,,,,,,,,,Premier,,KM7321W,"Full-size Keyboard, Adjustable Tilt, Programmable Keys, Slim, Battery Indicator",,B08WNWS3HS,,,,,,,,#21 in Computer Keyboard & Mouse Combos,,,,,,,"February 15, 2021",,,2.88 ounces,2 AAA batteries required. (included),,,,,1.6 x 2.7 x 4.5 inches,,,,,,,,,,,,,,,,,,,,,,Battery Powered,"366 ratings
4.6 out of 5 stars",,,,,"Linux, Chrome OS, Windows",,,1.6 x 2.7 x 4.5 inches,"Bluetooth, USB",
173,"ASUS ROG Falchion Wireless 65% Mechanical Gaming Keyboard | 68 Keys, Aura Sync RGB, Extended Battery Life, Interactive Touch Panel, PBT Keycaps, Cherry MX Blue Switches, Keyboard Cover Case",$149.99,,ROG Cherry MX Blue Switches,,,Asus,,,Asus,,,,,,,,,,,,192876864494,"Wireless, Lighting",,B08T8741D5,,,,,"Polybutylene Terephthalate, Polycarbonate",,,"#3,663 in Video Games (See Top 100 in Video Games)
#251 in PC Gaming Keyboards",,,,,,,"February 22, 2021",,,2.07 pounds,,,,,,12 x 4 x 2 inches,Cherry MX Blue,,,,,,68,,,,,,68,,,,Gaming,,,,,,"655 ratings
4.6 out of 5 stars",,,,,PC,,,12 x 4 x 2 inches,"USB, Radio Frequency",
174,"YEMIUGO Compressed Air Duster, Upgraded 7800mAh Powerful 43000 RPM Deep Clean Compact Air Duster Spray 10W Type-C Fast Charging- Alternative to Canned Air Dust Off for Electric Keyboard Computer PC",49,,,,,YEMIUGO,,,YEMIUGO,,,,,,,,,,,,,,,B09B1ZJZVP,,,,,,,,"#19,386 in Office Products (See Top 100 in Office Products)
#59 in Compressed Air Dusters
#2,486 in Office Electronics Products",,,9.33 x 6.42 x 2.68 inches,,,,"July 22, 2021",,,1.12 pounds,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,Air-Duster-01,,,,,,,,,,,"87 ratings
4.5 out of 5 stars",,,,,,,,,,
175,"Electric Air Duster, Arcwares Cordless Duster for Computer Cleaning, Rechargeable Portable, 51000 RPM/7500MAH/10W,Fast Charging for Computer, Keyboard, Car, Pet House",$59.99,,,,,Arcwares,,,Arcwares,,,,,,,,,,,,,,,B09PD3QRCV,,,,,,Black,,#377 in Compressed Air Dusters,,,,,,,"December 29, 2021",,,1.08 pounds,,,,,,7.68 x 4.33 x 2.76 inches,,,,,,,,,,,,LE,,,,,,,,,,,"17 ratings
4.0 out of 5 stars",,,,,,,,,,
176,CHERRY MV 3.0 Corded Mechanical RGB Backlight Keyboard. CHERRY Viola Switches. for Gaming or at Work.,74,,Contemporary,,,Cherry,,,CHERRY,,,,,,,,,,,,G8B-26000LYAEU-2,Travel,,B09G9TGDH6,,CHERRY MV 3.0,,,,,,"#34,604 in Video Games (See Top 100 in Video Games)
#2,301 in PC Gaming Keyboards",,,,,,,"December 14, 2021",,,2.55 pounds,,,,,,7.48 x 17.91 x 1.57 inches,,,,,,,110,,,PC,,,,,,,Gaming,,RGB,USB Cable,,,"7 ratings
4.6 out of 5 stars",,,,No,,,,,USB-C,
